Indus ID,SITE Name,TCU,MCU,Total Nos. GSM,Total Nos.M/w
IN-1093030,Karanji 1,No,No,14,11
IN-1094388,PANGRI NAWGHARE,No,No,12,7
IN-1093974,Chichala (Mo),No,No,13,6
IN-1331891,Nandgaon-Bembal,No,No,16,2
IN-1256038,Sadegaon,No,No,15,4
IN-1133423,WARZADI,No,No,16,3
IN-1092140,ISARWADI,No,No,6,1
IN-1271647,Wahegaon,No,No,10,4
IN-1070102,Sirasmarg,No,No,6,7
IN-1271330,SATGAON BHUSARI,No,No,6,1
IN-1253927,Gunj Kh,No,No,8,4
IN-1289825,Pathardigaon,No,No,11,2
IN-1254985,Karanje ,No,No,13,2
IN-1070065,GANGAZARI,No,No,6,3
IN-1254819,Kedambe,No,No,6,2
IN-1091453,CHAUPALE,No,No,10,7
IN-1100854,Hamarpur,No,No,12,9
IN-1024446,DESAIGANJ,Yes,Yes,12,12
IN-1092402,Dawaniwada,No,No,4,3
IN-1024524,Peth,No,No,10,6
IN-1118361,VITHALA,No,No,15,3
IN-1491057,Nagpur Metropolitan Area,No,No,3,1
IN-1374552,NAGPUR BIDGAON,No,No,3,1
IN-1383485,Chandrakiran Nagar,No,No,3,1
IN-1383510,Kharbi,No,No,3,1
IN-1365860,Crystal Corner,No,No,6,1
IN-1374971,Dapodi Powar Wasti ,No,No,4,1
IN-1370575,Pune_07999_RupeenagarTalwade,No,No,6,1
IN-1368989,Pune_07716_Talekar Nagar,No,No,6,1
IN-1373409,Pune07998Jadhav WadiChikhal,No,No,3,1
IN-1383558,Off Spine Road,No,No,4,1
IN-1382869,Shivaji Maharaj Rd,No,No,4,2
IN-1371021,Urban Nirvana society,No,No,3,1
IN-1365836,Tuljabhawani Nagar,No,No,4,1
IN-1357721,Samta Nagar,No,No,4,1
IN-1388686,Satpur Colony,No,No,4,1
IN-1092296,Mokh,No,No,11,8
IN-1371725,Washim_08068_Patahnpura,No,No,3,1
IN-1372477,Mangrulpir,No,No,3,1
IN-1373649,Barsi Takli,No,No,3,1
IN-1253792,Adgaon,No,No,20,4
IN-1106065,Dhanorabkltr,No,No,13,5
IN-1260300,Halamb,No,No,12,5
IN-1097384,JALDHARA TANDA,No,No,6,3
IN-1092372,Pusra,No,No,4,4
IN-1382635,YADAV NAGAR,No,No,3,1
IN-1379590,Shukrwar peth,No,No,3,1
IN-1375278,Kurli,No,No,3,1
IN-1365923,Chakan Nighoje,No,No,6,1
IN-1371032,Pathardi Gaon,No,No,6,1
IN-1235435,GAIKWAD JALGAON,No,No,11,7
IN-1093609,HINGNA ROAD,No,No,14,1
IN-1054369,BHWPIPELINE_ODU,No,Yes,11,17
IN-1296893,Kamatghar,No,No,13,3
IN-1248879,Koradi Power Plant,No,No,10,3
IN-1301414,Hotel Raj Kamal_Shirdi,No,No,18,3
IN-1363055,MIDC Industrial Area-Chilkalthana,No,No,8,2
IN-1362130,Prathmesh Nagar,No,No,9,2
IN-1354958,MIDC- GBM,No,No,9,2
IN-1052965,SAMNER_ODU,Yes,No,7,4
IN-1385597,SHREE NAGAR,No,No,3,1
IN-1052215,KHADKIBK_ODU,No,No,13,7
IN-1347728,Sumil Chemical Industries Pvt Ltd,No,No,7,1
IN-1387281,Kaulkhed,No,No,3,1
IN-1095155,CHAINGAON,No,No,13,7
IN-1382706,Santoshnagar_BSC192ESP_4G,No,No,6,1
IN-1133413,Dadegaon,No,No,13,4
IN-1349309,Kidwai Nagar,No,No,4,1
IN-1073215,RJGURCHNDOL_IDU,No,No,12,7
IN-1241284,Garadgaon,No,No,6,4
IN-1024008,SULAWINES,No,No,19,9
IN-1054182,WADGAONMANIKBG_ODU,No,No,8,1
IN-1066379,LOANKHEDA_ODU,Yes,No,4,2
IN-1135330,Taloda FL,No,No,6,1
IN-1024474,Aragvillg,No,No,14,6
IN-1253925,Ambhoda Kadam,No,No,11,3
IN-1132120,Armbhi,No,No,11,4
IN-1280082,Mojpuri,No,No,15,5
IN-1375938,Nalasopara East,No,No,3,1
IN-1360358,Ostwal Nagari,No,No,4,1
IN-1360231,Damodar Nagar,No,No,4,1
IN-1361796,Yaskub Dryfruit- Rahmat Nagar,No,No,4,1
IN-1054081,DINANATH_HOSP_ODU,No,No,4,10
IN-1054360,KATARGATE_ODU,No,No,8,3
IN-1054386,GAIBINAGAR_ODU,No,No,13,6
IN-1054370,PIRANPADA_ODU,No,No,12,10
IN-1354238,shahu nagar,No,No,6,1
IN-1053598,SHIRSOLI_ODU,Yes,Yes,12,8
IN-1053709,ERAMTAKENGG_IDU,No,No,19,3
IN-1390914,SOPARA TRADING,No,No,4,1
IN-1374259,Santosh Bhawan Naka,No,No,6,1
IN-1243690,AASHIYANA MANZIL,No,No,12,6
IN-1300454,Talegaon 2,No,No,7,2
IN-1374294,Gaibi Nagar,No,No,5,1
IN-1326366,Chand Tara masjid,No,No,3,1
IN-1303317,Kon Relocation,No,No,13,4
IN-1301349,Site765,No,No,6,3
IN-1304008,Site1560,No,No,9,3
IN-1385587,Subhash Nagar,No,No,6,1
IN-1364134,Krisita Apt,No,No,6,1
IN-1248440,TEMGHAR NAKA,No,No,15,2
IN-1300092,Site956,No,No,8,2
IN-1349905,Relocation of MH1711,No,No,3,1
IN-1054332,BDLPRSHREE_IDU,No,No,4,5
IN-1268734,Badlapur Station pada,Yes,No,23,6
IN-1349889,Jadhav Colony,No,No,3,2
IN-1363601,Atharva Broadband,No,No,3,1
IN-1369882,Belavali-1,No,No,3,1
IN-1248799,SHIVAJINAGAR,No,No,19,2
IN-1053196,HINGNAWADI_IDU,No,Yes*2,16,16
IN-1024822,KUMAR TOLI,No,No,9,4
IN-1024177,DAGADSANGVI,No,No,7,4
IN-1094315,PANGRI PR.DEULGHAT,No,No,6,1
IN-1240406,Sai Plaza,No,No,20,8
IN-1107294,PADAMPURA CHOWK,No,No,3,3
IN-1353643,Jai Mata Di Aprt,No,No,4,1
IN-1311963,Shanti nagar,No,No,3,1
IN-1360341,Evershine city,No,No,5,1
IN-1372854, Ambawadi-2,No,No,5,1
IN-1374250,Achole Rd,No,No,4,1
IN-1333726,Chakradhar Nagar,No,No,4,1
IN-1365153,Vihitgaon,No,No,6,1
IN-1025025,Bolinge,No,No,17,16
IN-1302773,Tuling Road,No,No,7,3
IN-1369885,Jakat Naka,No,No,3,1
IN-1301394,Site869,No,No,8,2
IN-1309733,9458,No,No,9,3
IN-1295015,navrenagar,No,No,11,4
IN-1371768,Relocation of 753,No,No,3,1
IN-1653214,Not available,No,No,6,1
IN-1387566,Ambernath,No,No,3,1
IN-1352394,Vakil House,No,No,6,1
IN-1340716,Kailash colony-2,No,No,4,1
IN-1283205,Islampur Medical College,No,No,9,8
IN-1052287,NALASANT_ODU,No,No,15,2
IN-1336142,ROM4619,No,No,7,1
IN-1341207,Rudra Chwal,No,No,7,2
IN-1292968,Bhorgad Airforce,Yes,No,21,7
IN-1237205,Rajlaxmi Park,No,Yes,18,13
IN-1125306,SHIVNI TAKA,No,No,12,3
IN-1025071,JINTURROAD,No,Yes,18,9
IN-1110676,GUGAL PIMPARI,No,No,12,5
IN-1054500,Hupmalibldg_Idu,No,No,21,4
IN-1071238,Dhaniv_Odu,No,Yes,21,11
IN-1308156,Tilekar Nagar,No,No,10,2
IN-1092209,MARUL,No,No,13,4
IN-1024713,WANOWARI,No,No,11,11
IN-1055312,TUMSARKAREMORE_IDU,No,No,11,7
IN-1053952,SHEOGAONGBT_ODU,Yes,Yes,24,16
IN-1279195,Hira Kunj,No,No,25,5
IN-1054130,NIBMROAD_IDU,No,Yes,17,7
IN-1055311,TUMSAR_IDU,No,No,17,9
IN-1293827,Santosh Bhuvan,No,No,11,3
IN-1296899,Mahan,No,No,12,4
IN-1355503,SANTHOSH,No,No,9,4
IN-1369675,Manvel Pada-2,No,No,6,2
IN-1300464,Site828,No,No,10,3
IN-1282347,Satyanarayan Temple (Gauraipada),No,No,12,3
IN-1262972,Gaurai Pada,No,No,20,7
IN-1054906,DHAN RESIDENCY_ODU,No,No,9,5
IN-1342341,FL09806,No,No,6,1
IN-1055529,JIVANHOPS,No,No,8,3
IN-1305479,Site1571,No,No,9,3
IN-1309072,Relocation ULHASNAGAR_IDU,No,Yes,3,9
IN-1276860,JAILAXMI,No,No,3,2
IN-1352977,Relocation of MH2562,No,No,4,1
IN-1374257,Rukmini Banglow,No,No,6,1
IN-1374249,Pelhar Road,No,No,6,1
IN-1363775,Afreen Enterprice Dhanvi Baugh,No,No,4,1
IN-1091700,Kalher (Arihat Compound),No,No,9,4
IN-1344725,Kharwai (Badlapur),No,No,4,2
IN-1362794,Panvelkar Vrindavan,No,No,5,1
IN-1369887,Lalchakki Rd,No,No,3,2
IN-1803480,Galib Nagar,No,No,4,1
IN-1052300,OSMKHWAJNGR_ODU,No,No,13,4
IN-1295597,Dubey Building,No,No,15,3
IN-1348772,Maulana Azad Road,No,No,6,1
IN-1349378,Nagaon,No,No,4,1
IN-1369666,Goan Devi Rd,No,No,6,1
IN-1239537,RAJYOG PHASE,No,No,16,5
IN-1024684,ARYANESHWAR,No,No,3,3
IN-1024683,BOOTEE STREET,No,No,6,7
IN-1024271,BHISI,No,No,10,8
IN-1117118,Bolda Rly Stn,No,No,3,3
IN-1309673,Yashwant Nagar,No,No,15,2
IN-1023989,PADOLI,No,No,12,11
IN-1238800,Nagar FI II,No,No,20,2
IN-1345142,Welkin Engineering Works,No,No,6,1
IN-1341208,Viva college,No,No,7,2
IN-1675600,Not available,No,No,6,1
IN-1361785,Shree Manglam Apprtment,No,No,6,1
IN-1272373,Walivgaon,No,No,11,6
IN-1286952,GURU KRIPA NAGER,No,No,7,2
IN-1055331,Eulspushpagn_Odu,No,No,8,6
IN-1270024,Valiv Ind,No,No,17,7
IN-1285955,WASAIVALIV_INDS,No,No,12,4
